Participant id in session,Participant Code,Chat/ No Chat,Round No,Player id in group,Pairings,player decision,Round,Treatment,Players Strategy
1,1fop2fug,Chat,4,1,8,Stop,3,Zero,continue
2,sxdrrqqq,Chat,4,2,8,,,Zero,continue
3,yxo0mntn,Chat,4,1,1,,,Baseline,Will probably be stopped at round 9 but wish to continue on if I could because it's the highest monetary value
4,vz8p85fp,Chat,4,2,4,,,Baseline,I will continue until the last round because that is what we agreed on.
5,h5iqkkav,Chat,4,1,2,Continue,end,Baseline,continue to end
6,m1xeiym0,Chat,4,1,3,Continue,end,Baseline,"will continue until that box, as we agreed on that"
7,dc0r4n9w,Chat,4,2,3,Continue,end,Baseline,will stop at round 4
8,bzhcm769,Chat,4,2,2,Continue,end,Baseline,continue till end
9,8apo3cgi,Chat,4,1,7,,,Linear,continue
10,of1g2i7n,Chat,4,2,6,,,Linear,I will stop at 8 as negotiated.
11,gqdmt2ct,Chat,4,1,4,Stop,7,Baseline,"go till 5, that is the big bet i can go for."
12,ptg4p4bq,Chat,4,2,5,Stop,6,Baseline,stop at 8
13,qy86l5ms,Chat,4,1,6,Stop,1,Linear,I will stop at 8 because the participant seems kind.
14,gy8umpec,Chat,4,2,7,Stop,2,Linear,stop on my first go
15,utihjbe3,Chat,4,2,1,Stop,8,Baseline,i'll stop at 8
16,s1rh1hok,Chat,4,1,5,,,Baseline,"i will try to continue all the way, unless i feel unsure about whether other pttp will stop at 8 in which case i will stop at 7"
,,,,,,,,,
1,b5p4dfvx,Chat,4,1,4,,,Baseline,Will continue till 7th level.
2,eqn99yd1,Chat,4,2,4,Stop,8,Baseline,stop at 8
3,7uaz1zmn,Chat,4,2,7,Stop,8,Linear,Stop at 8
4,i1zxx0cy,Chat,4,2,6,Stop,6,Linear,stop at 4
5,y8cgtqtu,Chat,4,1,7,,,Linear,stop at 8
6,asoz551b,Chat,4,1,5,Continue,end,Linear,continue
7,jrb2fq24,Chat,4,1,3,Continue,end,Baseline,Continue at 8
8,1ak8jpsi,Chat,4,2,2,Stop,8,Baseline,Stop at 8
9,8l13ucda,Chat,4,1,8,Stop,5,Linear,stop at 5
10,7gq20tln,Chat,4,2,8,,,Linear,stop at 6
11,5vsk781d,Chat,4,2,1,,,Baseline,"Stop at #6, if the other person doesn't stop sooner."
12,3cjpvgsh,Chat,4,1,2,,,Baseline,Continue until the end
13,5qgljvdo,Chat,4,2,5,Continue,end,Linear,Select randomly for fun
14,cy6hd3fl,Chat,4,1,6,,,Linear,continue till the end
15,z4awa59k,Chat,4,1,1,Stop,5,Baseline,not sure
16,ychjeid8,Chat,4,2,3,Continue,end,Baseline,Continue to the end
,,,,,,,,,
1,q5dympb9,No Chat,4,1,1,,,Baseline,stop at 7
2,iej3wiqs,No Chat,4,2,4,Stop,6,Baseline,Aim to stop at round 4
3,izp0ens7,No Chat,4,2,9,,,Zero,Want to end on round 8 but depends on the participant. Will probably end on round 6
4,o2x4xwdw,No Chat,4,2,10,Stop,4,Zero,I'll stop at 6 because he/she will stop at 7 if I continue
5,siwe72ta,No Chat,4,2,7,,,Linear,I will get 166
6,m0rglibi,No Chat,4,1,8,Stop,5,Linear,stop at 4
7,cebne6fm,No Chat,4,2,6,Stop,4,Linear,Stop at round 4
8,8b7gpazh,No Chat,4,2,8,,,Linear,i will try to make it at 6
9,5qmg1euf,No Chat,4,2,3,,,Baseline,not sure
10,mwnx2jmr,No Chat,4,1,4,,,Baseline,Continue forever
11,wk89oazu,No Chat,4,2,5,,,Baseline,take on 6
12,e4nxw0n7,No Chat,4,1,2,Stop,7,Baseline,"it is a double win, if you want to earn more, you need to ends later"
13,388zde2f,No Chat,4,1,7,Stop,5,Linear,stop at round 5
14,l51m5q34,No Chat,4,1,6,,,Linear,Stop at round 5.
15,ukh5d12t,No Chat,4,2,1,Stop,4,Baseline,I am not too sure as of yet
16,a19uagf9,No Chat,4,1,3,Stop,5,Baseline,Stop in round 6.
17,0ijo73ag,No Chat,4,1,5,Stop,7,Baseline,stop at 7
18,jq0hzdiq,No Chat,4,2,2,,,Baseline,stop at 2
19,6ixnjwji,No Chat,4,1,10,,,Zero,hope for the best and go till 7
20,81kuxwzk,No Chat,4,1,9,Stop,5,Zero,Stop at 5
,,,,,,,,,
1,jn8g7l7n,No Chat,4,2,7,Stop,2,Linear,Stop at 2
2,51junihe,No Chat,4,2,6,Stop,2,Linear,no
3,pq2la6sg,No Chat,4,1,7,,,Linear,Stop at Round 5
4,5k9ox5nd,No Chat,4,1,4,Stop,3,Linear,Stop at 3
5,z5e15miq,No Chat,4,1,3,,,Baseline,I will try to continue to at least round 5
6,m042ko9i,No Chat,4,2,1,,,Baseline,I will stop the round at the highest pay off.
7,uz9vuj33,No Chat,4,2,4,,,Linear,not sure
8,sdjz7rnn,No Chat,4,2,5,,,Linear,continue
9,gcskqxru,No Chat,4,1,2,,,Baseline,stop at 7
10,vmfijvxr,No Chat,4,1,1,Stop,3,Baseline,stop to secure the money
11,xyrv9ls7,No Chat,4,2,8,,,Zero,I will aim to stop at round 6.
12,tx9i16r9,No Chat,4,1,8,Stop,5,Zero,stop at 7
13,2n25a20e,No Chat,4,1,6,,,Linear,Continue
14,2avcbrcp,No Chat,4,1,5,Stop,7,Linear,I will try to continue throughout the process
15,3vny3tt7,No Chat,4,2,3,Stop,2,Baseline,stop at 2
16,pfpl9l74,No Chat,4,2,2,Stop,8,Baseline,Keep on playing to see how much I can get
